;correct_spelling;misspellings
254;videnskab;['idenskab'        , 'vdenskab'    , 'vienskab'    , 'vidnskab'    , 'videskab'    , 'videnkab'    , 'vidensab'    , 'videnskb'    , 'videnska']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
255;spise;['pise'                , 'sise'        , 'spse'        , 'spie'        , 'spis']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
256;værelse;['ærelse'            , 'vrelse'      , 'væelse'      , 'værlse'      , 'værese'      , 'værele'      , 'værels']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
257;ven;['vne'                   , 'evn'         , 'env'         , 'nve'         , 'nev']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
258;begyndte;['egyndte'          , 'bgyndte'     , 'beyndte'     , 'begndte'     , 'begydte'     , 'begynte'     , 'begyndt']    ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
259;idé;['iéd'                   , 'dié'         , 'déi'         , 'éid'         , 'édi']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
260;fisk;['fiks'                 , 'fsik'        , 'fski'        , 'fkis'        , 'fksi'        , 'ifsk'        , 'ifks'        , 'isfk'        , 'iskf'        , 'ikfs'        , 'iksf'        , 'sfik'        , 'sfki'         , 'sifk'   , 'sikf' , 'skfi', 'skif', 'kfis', 'kfsi', 'kifs' , 'kisf', 'ksfi' , 'ksif']
261;bjerg;['jerg'                , 'berg'        , 'bjrg'        , 'bjeg'        , 'bjer']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
262;stoppe;['toppe'              , 'soppe'       , 'stppe'       , 'stope'       , 'stope'       , 'stopp']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
263;en gang;['n gang'            , 'e gang'      , 'engang'      , 'en ang'      , 'en gng'      , 'en gag'      , 'en gan']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
264;basen;['asen'                , 'bsen'        , 'baen'        , 'basn']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
265;høre;['høer'                 , 'hrøe'        , 'hreø'        , 'heør'        , 'herø'        , 'øhre'        , 'øher'        , 'ørhe'        , 'øreh'        , 'øehr'        , 'øerh'        , 'rhøe'        , 'rheø'         , 'røhe'   , 'røeh' , 'rehø', 'reøh', 'ehør', 'ehrø', 'eøhr' , 'eørh', 'erhø' , 'erøh']
266;hest;['hets'                 , 'hset'        , 'hste'        , 'htes'        , 'htse'        , 'ehst'        , 'ehts'        , 'esht'        , 'esth'        , 'eths'        , 'etsh'        , 'shet'        , 'shte'         , 'seht'   , 'seth' , 'sthe', 'steh', 'thes', 'thse', 'tehs' , 'tesh', 'tshe' , 'tseh']
267;cut;['ctu'                   , 'uct'         , 'utc'         , 'tcu'         , 'tuc']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
268;sikker;['ikker'              , 'skker'       , 'siker'       , 'siker'       , 'sikkr'       , 'sikke']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
269;ser;['sre'                   , 'esr'         , 'ers'         , 'rse'         , 'res']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
270;farve;['arve'                , 'frve'        , 'fave'        , 'farv']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
271;ansigt;['nsigt'              , 'asigt'       , 'anigt'       , 'ansgt'       , 'ansit'       , 'ansig']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
272;træ;['tær'                   , 'rtæ'         , 'ræt'         , 'ætr'         , 'ært']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
273;main;['mani'                 , 'mian'        , 'mina'        , 'mnai'        , 'mnia'        , 'amin'        , 'amni'        , 'aimn'        , 'ainm'        , 'anmi'        , 'anim'        , 'iman'        , 'imna'         , 'iamn'   , 'ianm' , 'inma', 'inam', 'nmai', 'nmia', 'nami' , 'naim', 'nima' , 'niam']
274;åben;['åbne'                 , 'åebn'        , 'åenb'        , 'ånbe'        , 'åneb'        , 'båen'        , 'båne'        , 'beån'        , 'benå'        , 'bnåe'        , 'bneå'        , 'eåbn'        , 'eånb'         , 'ebån'   , 'ebnå' , 'enåb', 'enbå', 'nåbe', 'nåeb', 'nbåe' , 'nbeå', 'neåb' , 'nebå']
275;synes;['ynes'                , 'snes'        , 'syes'        , 'syns'        , 'syne']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
276;sammen;['ammen'              , 'smmen'       , 'samen'       , 'samen'       , 'sammn']      ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
277;næste;['æste'                , 'nste'        , 'næte'        , 'næst']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
278;hvid;['hvdi'                 , 'hivd'        , 'hidv'        , 'hdvi'        , 'hdiv'        , 'vhid'        , 'vhdi'        , 'vihd'        , 'vidh'        , 'vdhi'        , 'vdih'        , 'ihvd'        , 'ihdv'         , 'ivhd'   , 'ivdh' , 'idhv', 'idvh', 'dhvi', 'dhiv', 'dvhi' , 'dvih', 'dihv' , 'divh']
279;børn;['bønr'                 , 'brøn'        , 'brnø'        , 'bnør'        , 'bnrø'        , 'øbrn'        , 'øbnr'        , 'ørbn'        , 'ørnb'        , 'ønbr'        , 'ønrb'        , 'rbøn'        , 'rbnø'         , 'røbn'   , 'rønb' , 'rnbø', 'rnøb', 'nbør', 'nbrø', 'nøbr' , 'nørb', 'nrbø' , 'nrøb']
280;begynde;['egynde'            , 'bgynde'      , 'beynde'      , 'begnde'      , 'begyde'      , 'begyne'      , 'begynd']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
281;fik;['fki'                   , 'ifk'         , 'ikf'         , 'kfi'         , 'kif']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
282;gang;['gagn'                 , 'gnag'        , 'gnga'        , 'ggan'        , 'ggna'        , 'agng'        , 'aggn'        , 'angg'        , 'angg'        , 'aggn'        , 'agng'        , 'ngag'        , 'ngga'         , 'nagg'   , 'nagg' , 'ngga', 'ngag', 'ggan', 'ggna', 'gagn' , 'gnga', 'gnag'], 
283;eksempel;['ksempel'          , 'esempel'     , 'ekempel'     , 'eksmpel'     , 'eksepel'     , 'eksemel'     , 'eksempl'     , 'eksempe']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
284;lethed;['ethed'              , 'lthed'       , 'lehed'       , 'leted'       , 'lethd'       , 'lethe']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
285;papir;['apir'                , 'ppir'        , 'papr'        , 'papi']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
286;gruppe;['ruppe'              , 'guppe'       , 'grppe'       , 'grupe'       , 'grupe'       , 'grupp']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
287;altid;['ltid'                , 'atid'        , 'alid'        , 'altd'        , 'alti']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
288;musik;['usik'                , 'msik'        , 'muik'        , 'musk'        , 'musi']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
289;dem;['dme'                   , 'edm'         , 'emd'         , 'mde']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
290;både;['båed'                 , 'bdåe'        , 'bdeå'        , 'beåd'        , 'bedå'        , 'åbde'        , 'åbed'        , 'ådbe'        , 'ådeb'        , 'åebd'        , 'åedb'        , 'dbåe'        , 'dbeå'         , 'dåbe'   , 'dåeb' , 'debå', 'deåb', 'ebåd', 'ebdå', 'eåbd' , 'eådb', 'edbå' , 'edåb']
291;mark;['makr'                 , 'mrak'        , 'mrka'        , 'mkar'        , 'mkra'        , 'amrk'        , 'amkr'        , 'armk'        , 'arkm'        , 'akmr'        , 'akrm'        , 'rmak'        , 'rmka'         , 'ramk'   , 'rakm' , 'rkma', 'rkam', 'kmar', 'kmra', 'kamr' , 'karm', 'krma' , 'kram']
292;ofte;['ofet'                 , 'otfe'        , 'otef'        , 'oeft'        , 'oetf'        , 'fote'        , 'foet'        , 'ftoe'        , 'fteo'        , 'feot'        , 'feto'        , 'tofe'        , 'toef'         , 'tfoe'   , 'tfeo' , 'teof', 'tefo', 'eoft', 'eotf', 'efot' , 'efto', 'etof' , 'etfo']
293;brev;['brve'                 , 'berv'        , 'bevr'        , 'bvre'        , 'bver'        , 'rbev'        , 'rbve'        , 'rebv'        , 'revb'        , 'rvbe'        , 'rveb'        , 'ebrv'        , 'ebvr'         , 'erbv'   , 'ervb' , 'evbr', 'evrb', 'vbre', 'vber', 'vrbe' , 'vreb', 'vebr'], 
294;indtil;['ndtil'              , 'idtil'       , 'intil'       , 'indil'       , 'indtl'       , 'indti']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
295;mile;['miel'                 , 'mlie'        , 'mlei'        , 'meil'        , 'meli'        , 'imle'        , 'imel'        , 'ilme'        , 'ilem'        , 'ieml'        , 'ielm'        , 'lmie'        , 'lmei'         , 'lime'   , 'liem' , 'lemi', 'leim', 'emil', 'emli', 'eiml' , 'eilm', 'elmi' , 'elim']
296;flod;['fldo'                 , 'fold'        , 'fodl'        , 'fdlo'        , 'fdol'        , 'lfod'        , 'lfdo'        , 'lofd'        , 'lodf'        , 'ldfo'        , 'ldof'        , 'ofld'        , 'ofdl'         , 'olfd'   , 'oldf' , 'odfl', 'odlf', 'dflo', 'dfol', 'dlfo' , 'dlof', 'dofl' , 'dolf']
297;bil;['bli'                   , 'ibl'         , 'ilb'         , 'lbi'         , 'lib']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
298;fødder;['ødder'              , 'fdder'       , 'føder'       , 'føder'       , 'føddr'       , 'fødde']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
299;pleje;['leje'                , 'peje'        , 'plje'        , 'plee'        , 'plej']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
300;sekund;['ekund'              , 'skund'       , 'seund'       , 'seknd'       , 'sekud'       , 'sekun']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
301;nok;['nko'                   , 'onk'         , 'okn'         , 'kno'         , 'kon']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
302;plain;['lain'                , 'pain'        , 'plin'        , 'plai']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
303;pige;['pieg'                 , 'pgie'        , 'pgei'        , 'peig'        , 'pegi'        , 'ipge'        , 'ipeg'        , 'igpe'        , 'igep'        , 'iepg'        , 'iegp'        , 'gpie'        , 'gpei'         , 'gipe'   , 'giep' , 'gepi', 'geip', 'epig', 'epgi', 'eipg' , 'eigp', 'egpi' , 'egip']
304;sædvanlig;['ædvanlig'        , 'sdvanlig'    , 'sævanlig'    , 'sædanlig'    , 'sædvnlig'    , 'sædvalig'    , 'sædvanig'    , 'sædvanlg'    , 'sædvanli']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
305;unge;['uneg'                 , 'ugne'        , 'ugen'        , 'ueng'        , 'uegn'        , 'nuge'        , 'nueg'        , 'ngue'        , 'ngeu'        , 'neug'        , 'negu'        , 'gune'        , 'guen'         , 'gnue'   , 'gneu' , 'geun', 'genu', 'eung', 'eugn', 'enug' , 'engu', 'egun' , 'egnu']
306;klar;['klra'                 , 'kalr'        , 'karl'        , 'krla'        , 'kral'        , 'lkar'        , 'lkra'        , 'lakr'        , 'lark'        , 'lrka'        , 'lrak'        , 'aklr'        , 'akrl'         , 'alkr'   , 'alrk' , 'arkl', 'arlk', 'rkla', 'rkal', 'rlka' , 'rlak', 'rakl' , 'ralk']
307;ovenfor;['venfor'            , 'oenfor'      , 'ovnfor'      , 'ovefor'      , 'ovenor'      , 'ovenfr'      , 'ovenfo']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
308;nogensinde;['ogensinde'      , 'ngensinde'   , 'noensinde'   , 'nognsinde'   , 'nogesinde'   , 'nogeninde'   , 'nogensnde'   , 'nogenside'   , 'nogensine'   , 'nogensind']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
309;rød;['rdø'                   , 'ørd'         , 'ødr'         , 'drø']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
310;liste;['iste'                , 'lste'        , 'lite'        , 'lise']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
311;selv;['sevl'                 , 'slev'        , 'slve'        , 'svel'        , 'svle'        , 'eslv'        , 'esvl'        , 'elsv'        , 'elvs'        , 'evsl'        , 'evls'        , 'lsev'        , 'lsve'         , 'lesv'   , 'levs' , 'lvse', 'lves', 'vsel', 'vsle', 'vesl' , 'vels', 'vlse' , 'vles']
312;føler;['øler'                , 'fler'        , 'føer'        , 'følr'        , 'føle']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
313;snak;['snka'                 , 'sank'        , 'sakn'        , 'skna'        , 'skan'        , 'nsak'        , 'nska'        , 'nask'        , 'naks'        , 'nksa'        , 'nkas'        , 'asnk'        , 'askn'         , 'ansk'   , 'anks' , 'aksn', 'akns', 'ksna', 'ksan', 'knsa' , 'knas', 'kasn' , 'kans']
314;fugl;['fulg'                 , 'fgul'        , 'fglu'        , 'flug'        , 'flgu'        , 'ufgl'        , 'uflg'        , 'ugfl'        , 'uglf'        , 'ulfg'        , 'ulgf'        , 'gful'        , 'gflu'         , 'gufl'   , 'gulf' , 'glfu', 'gluf', 'lfug', 'lfgu', 'lufg' , 'lugf', 'lgfu' , 'lguf']
315;snart;['nart'                , 'sart'        , 'snrt'        , 'snat'        , 'snar']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
316;krop;['krpo'                 , 'korp'        , 'kopr'        , 'kpro'        , 'kpor'        , 'rkop'        , 'rkpo'        , 'rokp'        , 'ropk'        , 'rpko'        , 'rpok'        , 'okrp'        , 'okpr'         , 'orkp'   , 'orpk' , 'opkr', 'oprk', 'pkro', 'pkor', 'prko' , 'prok', 'pokr' , 'pork']
317;hund;['hudn'                 , 'hnud'        , 'hndu'        , 'hdun'        , 'hdnu'        , 'uhnd'        , 'uhdn'        , 'unhd'        , 'undh'        , 'udhn'        , 'udnh'        , 'nhud'        , 'nhdu'         , 'nuhd'   , 'nudh' , 'ndhu', 'nduh', 'dhun', 'dhnu', 'duhn' , 'dunh', 'dnhu' , 'dnuh']
318;familie;['amilie'            , 'fmilie'      , 'failie'      , 'famlie'      , 'famiie'      , 'famile'      , 'famili']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
319;direkte;['irekte'            , 'drekte'      , 'diekte'      , 'dirkte'      , 'direte'      , 'direke'      , 'direkt']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
320;udgøre;['dgøre'              , 'ugøre'       , 'udøre'       , 'udgre'       , 'udgøe'       , 'udgør']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
321;forlade;['orlade'            , 'frlade'      , 'folade'      , 'forade'      , 'forlde'      , 'forlae'      , 'forlad']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
322;sang;['sagn'                 , 'snag'        , 'snga'        , 'sgan'        , 'sgna'        , 'asng'        , 'asgn'        , 'ansg'        , 'angs'        , 'agsn'        , 'agns'        , 'nsag'        , 'nsga'         , 'nasg'   , 'nags' , 'ngsa', 'ngas', 'gsan', 'gsna', 'gasn' , 'gans', 'gnsa' , 'gnas']
323;måle;['måel'                 , 'mlåe'        , 'mleå'        , 'meål'        , 'melå'        , 'åmle'        , 'åmel'        , 'ålme'        , 'ålem'        , 'åeml'        , 'åelm'        , 'lmåe'        , 'lmeå'         , 'låme'   , 'låem' , 'lemå', 'leåm', 'emål', 'emlå', 'eåml' , 'eålm', 'elmå' , 'elåm']
324;dør;['drø'                   , 'ødr'         , 'ørd'         , 'rdø']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
325;produkt;['rodukt'            , 'podukt'      , 'prdukt'      , 'proukt'      , 'prodkt'      , 'produt'      , 'produk']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
326;sort;['sotr'                 , 'srot'        , 'srto'        , 'stro'        , 'osrt'        , 'ostr'        , 'orst'        , 'orts'        , 'otsr'        , 'otrs'        , 'rsot'        , 'rsto'        , 'rost'         , 'rots'   , 'rtso' , 'rtos', 'tsor', 'tsro', 'tosr', 'tors' , 'trso', 'tros'], 
327;kort;['kotr'                 , 'krot'        , 'krto'        , 'ktor'        , 'ktro'        , 'okrt'        , 'oktr'        , 'orkt'        , 'ortk'        , 'otkr'        , 'otrk'        , 'rkot'        , 'rkto'         , 'rokt'   , 'rotk' , 'rtko', 'rtok', 'tkor', 'tkro', 'tokr' , 'tork', 'trko' , 'trok']
328;talord;['alord'              , 'tlord'       , 'taord'       , 'talrd'       , 'talod'       , 'talor']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
329;klasse;['lasse'              , 'klsse'       , 'klase'       , 'klase'       , 'klass']      ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
330;vind;['vidn'                 , 'vnid'        , 'vndi'        , 'vdin'        , 'vdni'        , 'ivnd'        , 'ivdn'        , 'invd'        , 'indv'        , 'idvn'        , 'idnv'        , 'nvid'        , 'nvdi'         , 'nivd'   , 'nidv' , 'ndvi', 'ndiv', 'dvin', 'dvni', 'divn' , 'dinv', 'dnvi' , 'dniv']
331;spørgsmål;['pørgsmål'        , 'sørgsmål'    , 'sprgsmål'    , 'spøgsmål'    , 'spørsmål'    , 'spørgmål'    , 'spørgsål'    , 'spørgsml'    , 'spørgsmå']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
332;ske;['sek'                   , 'kse'         , 'kes'         , 'esk'         , 'eks']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
333;komplet;['omplet'            , 'kmplet'      , 'koplet'      , 'komlet'      , 'kompet'      , 'komplt'      , 'komple']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
334;skib;['skbi'                 , 'sikb'        , 'sibk'        , 'sbki'        , 'sbik'        , 'ksib'        , 'ksbi'        , 'kisb'        , 'kibs'        , 'kbsi'        , 'kbis'        , 'iskb'        , 'isbk'         , 'iksb'   , 'ikbs' , 'ibsk', 'ibks', 'bski', 'bsik', 'bksi' , 'bkis', 'bisk' , 'biks']
335;område;['mråde'              , 'oråde'       , 'omåde'       , 'omrde'       , 'områe'       , 'områd']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
336;halvdelen;['alvdelen'        , 'hlvdelen'    , 'havdelen'    , 'haldelen'    , 'halvelen'    , 'halvdlen'    , 'halvdeen'    , 'halvdeln'    , 'halvdele']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
337;sten;['stne'                 , 'setn'        , 'snte'        , 'snet'        , 'tsen'        , 'tsne'        , 'tesn'        , 'tens'        , 'tnse'        , 'tnes'        , 'estn'        , 'esnt'        , 'etsn'         , 'etns'   , 'enst' , 'ents', 'nste', 'nset', 'ntse', 'ntes' , 'nest', 'nets'], 
338;ordre;['rdre'                , 'odre'        , 'orre'        , 'orde'        , 'ordr']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
339;brand;['rand'                , 'brnd'        , 'brad'        , 'bran']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
340;syd;['sdy'                   , 'ysd'         , 'yds'         , 'dsy'         , 'dys']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
341;problem;['roblem'            , 'poblem'      , 'prblem'      , 'prolem'      , 'probem'      , 'problm'      , 'proble']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
342;stykke;['tykke'              , 'sykke'       , 'stkke'       , 'styke'       , 'styke'       , 'stykk']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
343;fortalt;['ortalt'            , 'frtalt'      , 'fotalt'      , 'foralt'      , 'fortlt'      , 'fortat'      , 'fortal']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
344;vidste;['idste'              , 'vdste'       , 'viste'       , 'vidte'       , 'vidse'       , 'vidst']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
345;pass;['psas'                 , 'pssa'        , 'psas'        , 'pssa'        , 'apss'        , 'apss'        , 'asps'        , 'assp'        , 'asps'        , 'assp'        , 'spas'        , 'spsa'        , 'saps'         , 'sasp'   , 'sspa' , 'ssap', 'spas', 'spsa', 'saps', 'sasp' , 'sspa', 'ssap'], 
346;siden;['iden'                , 'sden'        , 'sien'        , 'sidn']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
347;top;['tpo'                   , 'otp'         , 'opt'         , 'pto'         , 'pot']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
348;hele;['heel'                 , 'hlee'        , 'hlee'        , 'heel'        , 'ehle'        , 'ehel'        , 'elhe'        , 'eleh'        , 'eehl'        , 'eelh'        , 'lhee'        , 'lhee'        , 'lehe'         , 'leeh'   , 'lehe' , 'leeh', 'ehel', 'ehle', 'eehl', 'eelh' , 'elhe', 'eleh'], 
349;konge;['onge'                , 'knge'        , 'koge'        , 'kong']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
350;gade;['gaed'                 , 'gdae'        , 'gdea'        , 'gead'        , 'geda'        , 'agde'        , 'aged'        , 'adge'        , 'adeg'        , 'aegd'        , 'aedg'        , 'dgae'        , 'dgea'         , 'dage'   , 'daeg' , 'dega', 'deag', 'egad', 'egda', 'eagd' , 'eadg', 'edga' , 'edag']
351;tommer;['ommer'              , 'tmmer'       , 'tomer'       , 'tomer'       , 'tommr'       , 'tomme']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
352;formere;['ormere'            , 'frmere'      , 'fomere'      , 'forere'      , 'formre'      , 'formee'      , 'former']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
353;intet;['ntet'                , 'itet'        , 'inet'        , 'intt'        , 'inte']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
354;kursus;['ursus'              , 'krsus'       , 'kusus'       , 'kurus'       , 'kurss'       , 'kursu']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
355;ophold;['phold'              , 'ohold'       , 'opold'       , 'ophld'       , 'ophod'       , 'ophol']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
356;hjul;['hjlu'                 , 'hujl'        , 'hulj'        , 'hlju'        , 'hluj'        , 'jhul'        , 'jhlu'        , 'juhl'        , 'julh'        , 'jlhu'        , 'jluh'        , 'uhjl'        , 'uhlj'         , 'ujhl'   , 'ujlh' , 'ulhj', 'uljh', 'lhju', 'lhuj', 'ljhu' , 'ljuh', 'luhj' , 'lujh']
357;fuld;['fudl'                 , 'flud'        , 'fldu'        , 'fdul'        , 'fdlu'        , 'ufld'        , 'ufdl'        , 'ulfd'        , 'uldf'        , 'udfl'        , 'udlf'        , 'lfud'        , 'lfdu'         , 'lufd'   , 'ludf' , 'ldfu', 'lduf', 'dful', 'dflu', 'dufl' , 'dulf', 'dlfu' , 'dluf']
358;kraft;['raft'                , 'kaft'        , 'krft'        , 'krat'        , 'kraf']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
359;blå;['bål'                   , 'lbå'         , 'låb'         , 'åbl'         , 'ålb']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
360;objekt;['bjekt'              , 'ojekt'       , 'obekt'       , 'objkt'       , 'objet'       , 'objek']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
361;beslutte;['eslutte'          , 'bslutte'     , 'belutte'     , 'besutte'     , 'besltte'     , 'beslute'     , 'beslute'     , 'beslutt']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
362;overflade;['verflade'        , 'oerflade'    , 'ovrflade'    , 'oveflade'    , 'overlade'    , 'overfade'    , 'overflde'    , 'overflae'    , 'overflad']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
363;dyb;['dby'                   , 'ydb'         , 'ybd'         , 'bdy'         , 'byd']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
364;månen;['ånen'                , 'mnen'        , 'måen'        , 'månn'        , 'måne']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
366;fod;['fdo'                   , 'ofd'         , 'odf'         , 'dfo'         , 'dof']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
367;systemet;['ystemet'          , 'sstemet'     , 'sytemet'     , 'sysemet'     , 'systmet'     , 'systeet'     , 'systemt'     , 'systeme']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
368;travlt;['ravlt'              , 'tavlt'       , 'trvlt'       , 'tralt'       , 'travt'       , 'travl']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
